00:15:20.441 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:20.455 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:42.900 ERROR Bot encountered an error: thread.type.split is not a function. 
00:15:42.915 ERROR Bot encountered an error: thread.type.split is not a function. 
03:37:30.852 INFO  Loading Command: tag-edit. 
03:37:30.853 INFO  Loading Command: tag-view. 
03:37:30.853 INFO  Loading Command: tags. 
03:37:30.855 INFO  Loading Command: ticket-close. 
03:37:30.856 INFO  Loading Command: ticket-create. 
03:37:30.856 INFO  Loading Command: ticket-setup. 
03:37:30.857 INFO  Loading Command: ticket. 
03:37:30.859 INFO  Loading Command: embed. 
03:37:30.860 INFO  Loading Command: rr-add. 
03:37:30.860 INFO  Loading Command: rr-remove. 
03:37:30.861 INFO  Loading Command: set-lang. 
03:37:30.862 INFO  Loading Command: set-logs. 
03:37:30.863 INFO  Loading Command: set-plugin. 
03:37:30.863 INFO  =-=-=-=-=-=-=- Loading events(s): 44 -=-=-=-=-=-=-= 
03:37:30.930 INFO  Loading Event: debug 
03:37:30.931 INFO  Loading Event: error 
03:37:30.932 INFO  Loading Event: guildCreate 
03:37:30.933 INFO  Loading Event: guildDelete 
03:37:30.934 INFO  Loading Event: guildUnavailable 
03:37:30.934 INFO  Loading Event: interactionCreate 
03:37:30.936 INFO  Loading Event: messageCreate 
03:37:30.937 INFO  Loading Event: rateLimited 
03:37:30.937 INFO  Loading Event: raw 
03:37:30.938 INFO  Loading Event: ready 
03:37:30.938 INFO  Loading Event: request 
03:37:30.939 INFO  Loading Event: warn 
03:37:31.051 INFO  Loading Event: autoComplete 
03:37:31.053 INFO  Loading Event: clickButton 
03:37:31.099 INFO  Loading Event: clickMenu 
03:37:31.099 INFO  Loading Event: slashCreate 
03:37:31.100 INFO  Loading Event: ticketClose 
03:37:31.101 INFO  Loading Event: ticketCreate 
03:37:31.101 INFO  Loading Event: warning 
03:37:31.102 INFO  Loading Event: endedGiveawayReactionAdded 
03:37:31.103 INFO  Loading Event: giveawayDeleted 
03:37:31.103 INFO  Loading Event: giveawayEnded 
03:37:31.104 INFO  Loading Event: giveawayReactionAdded 
03:37:31.104 INFO  Loading Event: giveawayReactionRemoved 
03:37:31.105 INFO  Loading Event: giveawayRerolled 
03:37:31.108 INFO  Loading Event: channelCreate 
03:37:31.108 INFO  Loading Event: channelDelete 
03:37:31.109 INFO  Loading Event: channelUpdate 
03:37:31.110 INFO  Loading Event: emojiCreate 
03:37:31.110 INFO  Loading Event: emojiDelete 
03:37:31.111 INFO  Loading Event: emojiUpdate 
03:37:31.112 INFO  Loading Event: guildBanAdd 
03:37:31.112 INFO  Loading Event: guildBanRemove 
03:37:31.113 INFO  Loading Event: guildMemberAdd 
03:37:31.114 INFO  Loading Event: guildMemberRemove 
03:37:31.115 INFO  Loading Event: guildMemberUpdate 
03:37:31.115 INFO  Loading Event: guildScheduledEventCreate 
03:37:31.116 INFO  Loading Event: guildScheduledEventDelete 
03:37:31.116 INFO  Loading Event: guildScheduledEventUpdate 
03:37:31.117 INFO  Loading Event: guildScheduledEventUserAdd 
03:37:31.118 INFO  Loading Event: guildScheduledEventUserRemove 
03:37:31.118 INFO  Loading Event: guildUpdate 
03:37:31.119 INFO  Loading Event: inviteCreate 
03:37:31.119 INFO  Loading Event: inviteDelete 
03:37:31.120 INFO  Loading Event: messageDelete 
03:37:31.120 INFO  Loading Event: messageDeleteBulk 
03:37:31.121 INFO  Loading Event: messageReactionAdd 
03:37:31.121 INFO  Loading Event: messageReactionRemove 
03:37:31.122 INFO  Loading Event: messageReactionRemoveAll 
03:37:31.123 INFO  Loading Event: messageUpdate 
03:37:31.123 INFO  Loading Event: roleCreate 
03:37:31.124 INFO  Loading Event: roleDelete 
03:37:31.124 INFO  Loading Event: roleUpdate 
03:37:31.125 INFO  Loading Event: stickerCreate 
03:37:31.125 INFO  Loading Event: stickerDelete 
03:37:31.126 INFO  Loading Event: stickerUpdate 
03:37:31.126 INFO  Loading Event: threadCreate 
03:37:31.127 INFO  Loading Event: threadDelete 
03:37:31.127 INFO  Loading Event: threadListSync 
03:37:31.128 INFO  Loading Event: threadMembersUpdate 
03:37:31.128 INFO  Loading Event: threadUpdate 
03:37:31.129 INFO  Loading Event: voiceStateUpdate 
03:37:31.131 INFO  Loading Event: shardDisconnect 
03:37:31.131 INFO  Loading Event: shardError 
03:37:31.132 INFO  Loading Event: shardReady 
03:37:31.132 INFO  Loading Event: shardReconnecting 
03:37:31.652 INFO  10 language(s) have loaded. (ar-EG, de-DE, en-US, en-upside, es-ES, fr-FR, it-IT, nl-NL, pt-BR, ru-RU) 
03:37:31.671 INFO  =-=-=-=-=-=-=- Loading ReactionRoles -=-=-=-=-=-=-= 
03:37:31.703 INFO  MongoDB successfully connected 
03:37:34.574 INFO  Shard: 0 has became ready with: 0 unavailable guilds. 
03:37:34.663 ERROR Error with starting HTTP API: listen EADDRINUSE: address already in use :::3000 
03:37:34.687 INFO  All guilds have been initialized. 
03:37:34.692 INFO  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= 
03:37:34.692 INFO  Prof Grand Oak#0818, ready to serve [1] users in [2] servers. 
03:37:34.692 INFO  -=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= 
03:39:48.607 INFO  =-=-=-=-=-=-=- Config file Verification -=-=-=-=-=-=-= 
03:39:48.609 INFO  Verifying config.. 
03:39:48.609 INFO  Checking client details.. 
03:39:49.339 INFO  Checking MongoDB URL 
03:39:49.646 INFO  =-=-=-=-=-=-=- Loading shard(s) -=-=-=-=-=-=-= 
03:39:50.628 INFO  =-=-=-=-=-=-=- Loading command(s): 137 -=-=-=-=-=-=-= 
03:39:50.635 INFO  Loading Command: poll. 
03:39:50.636 INFO  Loading Command: blurpify. 
03:39:50.637 INFO  Loading Command: captcha. 
03:39:50.638 INFO  Loading Command: cat. 
03:39:50.639 INFO  Loading Command: changemymind. 
03:39:50.640 INFO  Loading Command: clyde. 
03:39:50.641 INFO  Loading Command: craiyon. 
03:39:50.642 INFO  Loading Command: deepfry. 
03:39:50.642 INFO  Loading Command: dog. 
03:39:50.660 INFO  Loading Command: image. 
03:39:50.661 INFO  Loading Command: phcomment. 
03:39:50.662 INFO  Loading Command: qrcode. 
03:39:50.663 INFO  Loading Command: ship. 
03:39:50.664 INFO  Loading Command: threats. 
03:39:50.665 INFO  Loading Command: twitter. 
03:39:50.666 INFO  Loading Command: whowouldwin. 
03:39:50.668 INFO  Loading Command: help. 
03:39:50.669 INFO  Loading Command: shorturl. 
03:39:50.670 INFO  Loading Command: status. 
03:39:50.671 INFO  Loading Command: addrole. 
03:39:50.672 INFO  Loading Command: ban. 
03:39:50.673 INFO  Loading Command: clear-warning. 
03:39:50.674 INFO  Loading Command: clear. 
03:39:50.675 INFO  Loading Command: deafen. 
03:39:50.675 INFO  Loading Command: delrole. 
03:39:50.676 INFO  Loading Command: dm. 
03:39:50.677 INFO  Loading Command: editrole. 
03:39:50.678 INFO  Loading Command: kick. 
03:39:50.679 INFO  Loading Command: lock. 
03:39:50.679 INFO  Loading Command: mute. 
03:39:50.680 INFO  Loading Command: nick. 
03:39:50.681 INFO  Loading Command: report. 
03:39:50.682 INFO  Loading Command: slowmode. 
03:39:50.683 INFO  Loading Command: unban. 
03:39:50.683 INFO  Loading Command: undeafen. 
03:39:50.684 INFO  Loading Command: unlock. 
03:39:50.685 INFO  Loading Command: unmute. 
03:39:50.686 INFO  Loading Command: warn. 
03:39:50.687 INFO  Loading Command: warnings. 
03:39:50.688 INFO  Loading Command: embed. 
03:39:50.690 INFO  Loading Command: rr-add. 
03:39:50.690 INFO  Loading Command: rr-remove. 
03:39:50.691 INFO  Loading Command: set-lang. 
03:39:50.692 INFO  Loading Command: set-logs. 
03:39:50.692 INFO  Loading Command: set-plugin. 
03:39:50.694 INFO  Loading Command: leaderboard. 
03:39:50.905 INFO  Loading Command: rank. 
03:39:50.906 INFO  Loading Command: tag-add. 
03:39:50.907 INFO  Loading Command: tag-delete. 
03:39:50.908 INFO  Loading Command: tag-edit. 
03:39:50.909 INFO  Loading Command: tag-view. 
03:39:50.909 INFO  Loading Command: tags. 
03:39:50.910 INFO  Loading Command: ticket-close. 
03:39:50.911 INFO  Loading Command: ticket-create. 
03:39:50.912 INFO  Loading Command: ticket-setup. 
03:39:50.913 INFO  Loading Command: ticket. 
03:39:50.914 INFO  Loading Command: g-delete. 
03:39:50.915 INFO  Loading Command: g-edit. 
03:39:50.916 INFO  Loading Command: g-pause. 
03:39:50.916 INFO  Loading Command: g-reroll. 
03:39:50.917 INFO  Loading Command: g-start. 
03:39:50.918 INFO  Loading Command: giveaway. 
03:39:50.919 INFO  Loading Command: flip. 
03:39:50.920 INFO  Loading Command: meme. 
03:39:50.921 INFO  Loading Command: pokememe. 
03:39:50.922 INFO  Loading Command: pokemon. 
03:39:50.922 INFO  Loading Command: random. 
03:39:50.923 INFO  Loading Command: rpokemon. 
03:39:50.924 INFO  Loading Command: type. 
03:39:50.924 INFO  =-=-=-=-=-=-=- Loading events(s): 44 -=-=-=-=-=-=-= 
03:39:50.986 INFO  Loading Event: debug 
03:39:50.986 INFO  Loading Event: error 
03:39:50.987 INFO  Loading Event: guildCreate 
03:39:50.988 INFO  Loading Event: guildDelete 
03:39:50.989 INFO  Loading Event: guildUnavailable 
03:39:50.989 INFO  Loading Event: interactionCreate 
03:39:50.991 INFO  Loading Event: messageCreate 
03:39:50.991 INFO  Loading Event: rateLimited 
03:39:50.992 INFO  Loading Event: raw 
